UP1, 9.4.2019, 9:0
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	Tan(Delta) 	 |Sig| [S/cm]
1.00000e+06	-5.00000e+01	2.80218e+00	6.09603e-02	2.17546e-02	1.00317e-06
7.14286e+05	-5.00000e+01	2.81821e+00	6.31208e-02	2.23975e-02	7.22948e-07
5.10204e+05	-5.00000e+01	2.83299e+00	6.65646e-02	2.34962e-02	5.20618e-07
3.64432e+05	-5.00000e+01	2.84876e+00	7.00153e-02	2.45775e-02	3.75092e-07
2.60308e+05	-5.00000e+01	2.86629e+00	7.25793e-02	2.53217e-02	2.70473e-07
1.85934e+05	-5.00000e+01	2.88016e+00	7.33578e-02	2.54700e-02	1.94632e-07
1.32810e+05	-5.00000e+01	2.89648e+00	7.45727e-02	2.57460e-02	1.40231e-07
9.48645e+04	-5.00000e+01	2.91498e+00	7.52077e-02	2.58004e-02	1.01142e-07
6.77604e+04	-5.00000e+01	2.93008e+00	7.56838e-02	2.58300e-02	7.28137e-08
4.84003e+04	-5.00000e+01	2.94634e+00	7.45637e-02	2.53073e-02	5.24461e-08
3.45716e+04	-5.00000e+01	2.96462e+00	7.37034e-02	2.48610e-02	3.78122e-08
2.46940e+04	-5.00000e+01	2.97938e+00	7.23965e-02	2.42992e-02	2.72107e-08
1.76386e+04	-5.00000e+01	2.99469e+00	7.09457e-02	2.36905e-02	1.95859e-08
1.25990e+04	-5.00000e+01	3.00962e+00	6.93520e-02	2.30434e-02	1.40941e-08
8.99928e+03	-5.00000e+01	3.02573e+00	6.78618e-02	2.24282e-02	1.01476e-08
6.42805e+03	-5.00000e+01	3.03864e+00	6.65103e-02	2.18882e-02	7.29424e-09
4.59147e+03	-5.00000e+01	3.05130e+00	6.49613e-02	2.12897e-02	5.24236e-09
3.27962e+03	-5.00000e+01	3.06696e+00	6.39824e-02	2.08618e-02	3.77305e-09
2.34258e+03	-5.00000e+01	3.07917e+00	6.31577e-02	2.05113e-02	2.71091e-09
